#,,Gimmick,Birthplace,Height,Weight,Promotioin,Rating,votes
252,,Mike Bailey,"Laval, Quebec, Canada",173,79,,8.58,126
253,,JT Dunn,"Providence, Rhode Island, USA",178,80,,8.57,36
254,,Tam Nakano,"Aichi, Japan",157,56,,8.57,103
255,,Taiji Ishimori,"Tagajo, Miyagi, Japan",163,75,,8.57,189
256,,Dave Prazak,"Chicago, Illinois, USA",170,66,,8.56,76
257,,Mil Mascaras,"San Luis Potosi, Mexiko",180,105,,8.56,56
258,,Jay Briscoe,"Salisbury, Maryland, USA",185,106,,8.56,252
259,,Masato Yoshino,"Higashiosaka, Osaka, Japan",172,75,,8.56,100
260,,Steve Douglas,"Meerane, Sachsen, Deutschland",185,94,,8.55,186
261,,David Starr,"Philadelphia, Pennsylvania, USA",180,96,,8.54,172
262,,Masahiro Chono,"Seattle, Washington, USA",186,96,,8.54,118
263,,Oney Lorcan,"Boston, Massachusetts, USA",185,88,,8.54,163
264,,Scott Hall,"Londontowne, Maryland, USA",195,120,,8.53,506
265,,Osamu Nishimura,"Tokyo, Japan",186,105,,8.53,42
266,,Minoru Tanaka,"Komaki, Aichi, Japan",175,76,,8.53,79
267,,Davey Boy Smith,"Manchester, England, UK",180,122,,8.52,356
268,,Sensational Sherri,"New Orleans, Louisiana, USA",170,63,,8.52,158
269,,Joe E. Legend,"Toronto, Ontario, Canada",190,121,,8.52,146
270,,Magnum TA,"Tidewater, Virginia, USA",186,109,,8.52,57
271,,Marty Scurll,"Littleport, Cambridgeshire, England, UK",175,83,,8.52,304
272,,Kazusada Higuchi,"Monbetsu, Hokkaido, Japan",185,110,,8.52,45
273,,Hirooki Goto,"Kuwana, Mie, Japan",182,103,,8.52,341
274,,Becky Lynch,"Dublin, Ireland",168,59,,8.52,562
275,,Daisuke Harada,"Suita, Osaka, Japan",169,80,,8.52,65
276,,Sarray,"Tokyo, Japan",158,60,,8.52,64
277,,Roddy Piper,"Saskatoon, Saskatchewan, Canada",183,104,,8.51,338
278,,Raven,"Philadelphia, Pennsylvania, USA",182,115,,8.51,403
279,,Lita,"Fort Lauderdale, Florida, USA",170,61,,8.51,424
280,,Davey Richards,"Othello, Washington, USA",172,92,,8.51,294
281,,Danshoku Dino,"Setoda, Hiroshima, Japan",179,105,,8.5,53
282,,Jon Moxley,"Cincinnati, Ohio, USA",188,102,,8.5,919
283,,Jay White,"Auckland, New Zealand",186,100,,8.5,358
284,,Tony Chimel,"Cherry Hill, New Jersey, USA",185,102,,8.49,123
285,,Dr. Wagner Jr,"Torreon, Coahuila, Mexiko",177,98,,8.49,60
286,,LA Park,"Torreon, Coahuila, Mexiko",185,136,,8.49,135
287,,AZM,"Tokyo, Japan",155,45,,8.49,86
288,,Brian Pillman,"Norwood, Ohio, USA",178,103,,8.48,210
289,,James Mason,"London, England, UK",180,100,,8.48,32
290,,Cara Noir,"Romford, Essex, England, UK",182,90,,8.48,45
291,,Ember Moon,"Dallas, Texas, USA",157,55,,8.48,231
292,,Thommy Giesen,"Moers, Nordrhein-Westfalen, Deutschland",,,,8.47,29
293,,Dave Penzer,"Atlanta, Georgia, USA",170,86,,8.47,31
294,,Toni Storm,"Auckland, New Zealand",168,65,,8.47,216
295,,Robbie Brookside,"Liverpool, Merseyside, England, UK",188,93,,8.47,82
296,,Adam Cole,"Panama City, Florida, USA",180,95,,8.47,490
297,,Rick Rude,"Robbinsdale, Minnesota, USA",191,114,,8.46,221
298,,Arn Anderson,"Rome, Georgia, USA",183,114,,8.46,296
299,,Steve Williams,"Lakewood, Colorado, USA",188,119,,8.45,154
300,,SUGI,"Fukuroi, Shizuoka, Japan",165,65,,8.45,55
301,,John Silver,"Wantagh, New York, USA",163,68,,8.45,79
302,,Rush,"Tala, Jalisco, Mexiko",183,93,,8.45,65
303,,Akira Tozawa,"Nishinomiya, Hyogo, Japan",170,71,,8.45,237
304,,MAO,"Osaki, Miyagi, Japan",177,80,,8.45,30
305,,Michael Kovac,"Linz, Oberösterreich, Österreich",180,104,,8.44,197
306,,Drake Younger,"Indianapolis, Indiana, USA",175,82,,8.44,175
307,,Josh Alexander,"Bolton, Ontario, Canada",185,109,,8.44,54
308,,Dakota Kai,"Auckland, New Zealand",165,58,,8.44,144
309,,Gabe Sapolsky,"Brookline, Massachusetts, USA",173,,,8.42,56
310,,Vince McMahon,"Pinehurst, North Carolina, USA",187,110,,8.42,592
311,,Chris Dickinson,"New York City, New York, USA",178,107,,8.42,72
312,,Ultimo Guerrero,"Gomez Palacio, Durango, Mexiko",173,93,,8.42,37
313,,John Klinger,"Bitburg, Rheinland-Pfalz, Deutschland",180,104,,8.42,282
314,,Ari Sterling,"Lexington, Kentucky, USA",186,84,,8.42,25
315,,John Morrison,"Palos Verdes, California, USA",185,96,,8.42,873
316,,Art Barr,"Portland, Oregon, USA",185,109,,8.41,33
317,,Malakai Black,"Alkmaar, Nordholland, Niederlande",180,96,,8.41,475
318,,Johnny Moss,"Egremont, England, UK",180,100,,8.4,44
319,,Santos Escobar,"Mexico City, Distrito Federal, Mexiko",180,90,,8.4,100
320,,Yukio Sakaguchi,"Tokyo, Japan",177,79,,8.4,34
321,,Natsupoi,"Yokohama, Kanagawa, Japan",150,47,,8.4,49
322,,Starlight Kid,Japan,150,45,,8.39,75
323,,Susumu Yokosuka,"Yokosuka, Kanagawa, Japan",173,77,,8.39,61
324,,Mark Haskins,"Oxford, England, UK",170,75,,8.39,109
325,,Adam Page,"Aaron's Creek, Virginia, USA",182,97,,8.39,315
326,,James Mitchell,"Orlando, Florida, USA",175,95,,8.38,116
327,,Gran Metalik,"Guadalajara, Jalisco, Mexiko",176,80,,8.37,137
328,,Tony St. Clair,"Bolton, England, UK",186,111,,8.36,43
329,,Bam Bam Bigelow,"Secaucus, New Jersey, USA",191,164,,8.36,311
330,,Riki Choshu,"Tokuyama, Yamaguchi, Japan",184,120,,8.36,54
331,,Super Dragon,"Los Angeles, California, USA",183,102,,8.36,166
332,,Jeff Cobb,"Honolulu, Hawaii, USA",178,119,,8.36,226
333,,Tegan Nox,"Bargoed, Wales, UK",167,64,,8.36,100
334,,Zeus,"Osaka, Japan",181,105,,8.36,68
335,,Verne Gagne,"Robbinsdale, Minnesota, USA",180,98,,8.35,54
336,,Jack Gallagher,"Manchester, England, UK",173,86,,8.35,158
337,,Finlay,"Greenisland, Carrickfergus, Northern Ireland, UK",178,106,,8.35,602
338,,Tomoaki Honma,"Higashine, Yamagata, Japan",181,98,,8.35,121
339,,MJF,"New York, USA",180,93,,8.35,212
340,,Kris Wolf,"Chicago, Illinois, USA",155,51,,8.33,32
341,,Superstar Billy Graham,"Paradise Valley, Arizona, USA",195,125,,8.33,98
342,,Victoria,"San Bernadino, California, USA",178,67,,8.32,291
343,,Andrew Everett,"Burlington, North Carolina, USA",175,77,,8.32,74
344,,Giant Baba,"Niigata, Japan",209,135,,8.31,88
345,,Gail Kim,"Toronto, Ontario, Canada",162,55,,8.31,346
346,,Milano Collection AT,"Morioka, Iwate, Japan",183,80,,8.31,88
347,,Awesome Kong,"Carson, California, USA",178,125,,8.31,276
348,,Fabian Aichner,"Pfalzen, Südtirol, Italien",184,100,,8.31,107
349,,Suwama,"Fujisawa, Kanagawa, Japan",188,120,,8.31,103
350,,Kimber Lee,"Seattle, Washington, USA",162,54,,8.31,84
351,,Peter William,"Berlin, Deutschland",,,,8.3,43
352,,ACH,"Austin, Texas, USA",175,84,,8.3,137
353,,Brodie Lee,"Rochester, New York, USA",201,125,,8.3,533
354,,Shinjiro Otani,"Yamaguchi, Japan",180,97,,8.3,76
355,,Joey Styles,"Philadelphia, Pennsylvania, USA",170,71,,8.29,186
356,,Matt Tremont,"Atlantic City, New Jersey, USA",178,108,,8.29,48
357,,Rey Mysterio,"San Ysidro, California, USA",162,74,,8.29,1100
358,,Rob Van Dam,"Battle Creek, Michigan, USA",185,107,,8.29,668
359,,Jimmy Jacobs,"Grand Rapids, Michigan, USA",170,82,,8.29,190
360,,Killer Kowalski,"Essex County, Ontario, Canada",201,125,,8.28,56
361,,Yoshihiro Takayama,"Tokyo, Japan",196,125,,8.28,101
362,,Shanna,"Lissabon, Portugal",164,54,,8.28,74
