Rank,Name,Height,Weight,Rating,Votes,City,State,Country
253,JT Dunn,178,80,8.57,36,Providence, Rhode Island, USA
254,Tam Nakano,157,56,8.57,103,Aichi, Japan,
255,Taiji Ishimori,163,75,8.57,189,Tagajo, Miyagi, Japan
256,Dave Prazak,170,66,8.56,76,Chicago, Illinois, USA
257,Mil Mascaras,180,105,8.56,56,San Luis Potosi, Mexiko,
258,Jay Briscoe,185,106,8.56,252,Salisbury, Maryland, USA
259,Masato Yoshino,172,75,8.56,100,Higashiosaka, Osaka, Japan
260,Steve Douglas,185,94,8.55,186,Meerane, Sachsen, Deutschland
261,David Starr,180,96,8.54,172,Philadelphia, Pennsylvania, USA
262,Masahiro Chono,186,96,8.54,118,Seattle, Washington, USA
263,Oney Lorcan,185,88,8.54,163,Boston, Massachusetts, USA
264,Scott Hall,195,120,8.53,506,Londontowne, Maryland, USA
265,Osamu Nishimura,186,105,8.53,42,Tokyo, Japan,
266,Minoru Tanaka,175,76,8.53,79,Komaki, Aichi, Japan
268,Sensational Sherri,170,63,8.52,158,New Orleans, Louisiana, USA
269,Joe E. Legend,190,121,8.52,146,Toronto, Ontario, Canada
270,Magnum TA,186,109,8.52,57,Tidewater, Virginia, USA
272,Kazusada Higuchi,185,110,8.52,45,Monbetsu, Hokkaido, Japan
273,Hirooki Goto,182,103,8.52,341,Kuwana, Mie, Japan
274,Becky Lynch,168,59,8.52,562,Dublin, Ireland,
275,Daisuke Harada,169,80,8.52,65,Suita, Osaka, Japan
276,Sarray,158,60,8.52,64,Tokyo, Japan,
277,Roddy Piper,183,104,8.51,338,Saskatoon, Saskatchewan, Canada
278,Raven,182,115,8.51,403,Philadelphia, Pennsylvania, USA
279,Lita,170,61,8.51,424,Fort Lauderdale, Florida, USA
280,Davey Richards,172,92,8.51,294,Othello, Washington, USA
281,Danshoku Dino,179,105,8.5,53,Setoda, Hiroshima, Japan
282,Jon Moxley,188,102,8.5,919,Cincinnati, Ohio, USA
283,Jay White,186,100,8.5,358,Auckland, New Zealand,
284,Tony Chimel,185,102,8.49,123,Cherry Hill, New Jersey, USA
285,Dr. Wagner Jr,177,98,8.49,60,Torreon, Coahuila, Mexiko
286,LA Park,185,136,8.49,135,Torreon, Coahuila, Mexiko
287,AZM,155,45,8.49,86,Tokyo, Japan,
288,Brian Pillman,178,103,8.48,210,Norwood, Ohio, USA
291,Ember Moon,157,55,8.48,231,Dallas, Texas, USA
293,Dave Penzer,170,86,8.47,31,Atlanta, Georgia, USA
294,Toni Storm,168,65,8.47,216,Auckland, New Zealand,
296,Adam Cole,180,95,8.47,490,Panama City, Florida, USA
297,Rick Rude,191,114,8.46,221,Robbinsdale, Minnesota, USA
298,Arn Anderson,183,114,8.46,296,Rome, Georgia, USA
299,Steve Williams,188,119,8.45,154,Lakewood, Colorado, USA
300,SUGI,165,65,8.45,55,Fukuroi, Shizuoka, Japan
301,John Silver,163,68,8.45,79,Wantagh, New York, USA
302,Rush,183,93,8.45,65,Tala, Jalisco, Mexiko
303,Akira Tozawa,170,71,8.45,237,Nishinomiya, Hyogo, Japan
304,MAO,177,80,8.45,30,Osaki, Miyagi, Japan
305,Michael Kovac,180,104,8.44,197,Linz, Oberösterreich, Österreich
306,Drake Younger,175,82,8.44,175,Indianapolis, Indiana, USA
307,Josh Alexander,185,109,8.44,54,Bolton, Ontario, Canada
308,Dakota Kai,165,58,8.44,144,Auckland, New Zealand,
310,Vince McMahon,187,110,8.42,592,Pinehurst, North Carolina, USA
311,Chris Dickinson,178,107,8.42,72,New York City, New York, USA
312,Ultimo Guerrero,173,93,8.42,37,Gomez Palacio, Durango, Mexiko
313,John Klinger,180,104,8.42,282,Bitburg, Rheinland-Pfalz, Deutschland
314,Ari Sterling,186,84,8.42,25,Lexington, Kentucky, USA
315,John Morrison,185,96,8.42,873,Palos Verdes, California, USA
316,Art Barr,185,109,8.41,33,Portland, Oregon, USA
317,Malakai Black,180,96,8.41,475,Alkmaar, Nordholland, Niederlande
319,Santos Escobar,180,90,8.4,100,Mexico City, Distrito Federal, Mexiko
320,Yukio Sakaguchi,177,79,8.4,34,Tokyo, Japan,
321,Natsupoi,150,47,8.4,49,Yokohama, Kanagawa, Japan
322,Starlight Kid,150,45,8.39,75,Japan,,
323,Susumu Yokosuka,173,77,8.39,61,Yokosuka, Kanagawa, Japan
325,Adam Page,182,97,8.39,315,Aaron's Creek, Virginia, USA
326,James Mitchell,175,95,8.38,116,Orlando, Florida, USA
327,Gran Metalik,176,80,8.37,137,Guadalajara, Jalisco, Mexiko
329,Bam Bam Bigelow,191,164,8.36,311,Secaucus, New Jersey, USA
330,Riki Choshu,184,120,8.36,54,Tokuyama, Yamaguchi, Japan
331,Super Dragon,183,102,8.36,166,Los Angeles, California, USA
332,Jeff Cobb,178,119,8.36,226,Honolulu, Hawaii, USA
334,Zeus,181,105,8.36,68,Osaka, Japan,
335,Verne Gagne,180,98,8.35,54,Robbinsdale, Minnesota, USA
338,Tomoaki Honma,181,98,8.35,121,Higashine, Yamagata, Japan
339,MJF,180,93,8.35,212,New York, USA,
340,Kris Wolf,155,51,8.33,32,Chicago, Illinois, USA
341,Superstar Billy Graham,195,125,8.33,98,Paradise Valley, Arizona, USA
342,Victoria,178,67,8.32,291,San Bernadino, California, USA
343,Andrew Everett,175,77,8.32,74,Burlington, North Carolina, USA
344,Giant Baba,209,135,8.31,88,Niigata, Japan,
345,Gail Kim,162,55,8.31,346,Toronto, Ontario, Canada
346,Milano Collection AT,183,80,8.31,88,Morioka, Iwate, Japan
347,Awesome Kong,178,125,8.31,276,Carson, California, USA
348,Fabian Aichner,184,100,8.31,107,Pfalzen, Südtirol, Italien
349,Suwama,188,120,8.31,103,Fujisawa, Kanagawa, Japan
350,Kimber Lee,162,54,8.31,84,Seattle, Washington, USA
352,ACH,175,84,8.3,137,Austin, Texas, USA
353,Brodie Lee,201,125,8.3,533,Rochester, New York, USA
354,Shinjiro Otani,180,97,8.3,76,Yamaguchi, Japan,
355,Joey Styles,170,71,8.29,186,Philadelphia, Pennsylvania, USA
356,Matt Tremont,178,108,8.29,48,Atlantic City, New Jersey, USA
357,Rey Mysterio,162,74,8.29,1100,San Ysidro, California, USA
358,Rob Van Dam,185,107,8.29,668,Battle Creek, Michigan, USA
359,Jimmy Jacobs,170,82,8.29,190,Grand Rapids, Michigan, USA
360,Killer Kowalski,201,125,8.28,56,Essex County, Ontario, Canada
361,Yoshihiro Takayama,196,125,8.28,101,Tokyo, Japan,
362,Shanna,164,54,8.28,74,Lissabon, Portugal,
363,Nick Mondo,185,92,8.27,105,Minneapolis, Minnesota, USA
364,Captain Lou Albano,178,159,8.26,56,Rom, Italien,
